"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2000 N1 (SOHO)",1.0000,0.005,144.08,1.88,81.21,,,PAR,55,,,,,1001539,C,,,,,,,,,,,,SAO_2008,2451728.8,51728,2000-07-03.2,J2000,,,,2451728.75,,,,,,,,,,,,,,,,,,,,,
"     C/2000 N2 (SOHO)",1.0000,0.007,143.83,12.38,91.63,,,PAR,10,,,,,1001540,C,,,,,,,,,,,,SAO_2008,2451734.3,51734,2000-07-08.8,J2000,,,,2451734.32,,,,,,,,,,,,,,,,,,,,,
"     C/2000 N3 (SOHO)",1.0000,0.005,145.48,7.75,86.95,,,PAR,5,,,,,1001541,C,,,,,,,,,,,,SAO_2008,2451730.6,51730,2000-07-05.0,J2000,,,,2451730.58,,,,,,,,,,,,,,,,,,,,,
"     C/2000 N4 (SOHO)",1.0000,0.035,74.50,73.89,59.61,,,PAR,7,,,,,1001737,C,,,,,,,,,,,,SAO_2008,2451730.3,51730,2000-07-04.8,J2000,,,,2451730.30,,,,,,,,,,,,,,,,,,,,,
"     C/2000 O1 (Koehn)",1.0000,5.922,148.10,88.88,55.16,,,HYP,64,,,,,1000307,C,,5.1,11.6,11.75,5.,0.03,,,,,,"JPL 39",2451678.5,51678,2000-05-14.0,J2000,-2.73e+06,0.00,2.186e-10,2451571.23,,5.04,1.96e+03,1.83,-2.56,3.4e-05,4.3e+07,3.2e-05,5.3e-05,1.5e-04,4.2e-04,5.6e-07,,5.2e-09,4.5e-03,,.79328,,,,
"     C/2000 OF8 (Spacewatch)",1.0018,2.173,152.43,117.09,256.08,,,HYP,72,,,,,1000308,C,,12.8,,4.75,,,,,,,,"JPL 49",2451811.5,51811,2000-09-24.0,J2000,-1204,-0.01,2.358e-05,2452126.30,,1.34,522,0.196,,3.1e-05,2.1e+01,1.1e-05,8.4e-05,6.7e-05,6.8e-04,1.9e-04,,6.1e-07,1.8e-03,,.57621,,,,
"     C/2000 P1 (SOHO)",1.0000,0.005,143.41,7.24,86.44,,,PAR,13,,,,,1001543,C,,,,,,,,,,,,SAO_2008,2451763.8,51763,2000-08-07.2,J2000,,,,2451763.76,,,,,,,,,,,,,,,,,,,,,
"     C/2000 P2 (SOHO)",1.0000,0.005,143.55,4.16,84.73,,,PAR,18,,,,,1001544,C,,,,,,,,,,,,SAO_2008,2451772.0,51771,2000-08-15.4,J2000,,,,2451771.97,,,,,,,,,,,,,,,,,,,,,
"     C/2000 Q1 (SOHO)",1.0000,0.057,87.14,256.11,83.66,,,PAR,55,,,,,1001545,C,,,,,,,,,,,,SAO_2008,2451785.9,51785,2000-08-29.4,J2000,,,,2451785.93,,,,,,,,,,,,,,,,,,,,,
"     P/2000 R2 (LINEAR)",0.5837,1.390,3.22,187.50,147.06,5.29,6.1,JFc,56,,,,,1000309,P,,19.3,,4.5,,,,,,,,"JPL 12",2451807.5,51807,2000-09-20.0,J2000,3.338,1.19,0.1616,2451800.16,2.23e+03,0.382,148,0.282,2.86,1.7e-04,1.5e-03,6.1e-05,3.6e-04,2.0e-03,3.0e-03,1.4e-03,2.4e-03,1.1e-04,3.5e-03,1.5e+00,.6951,,,,
"     C/2000 S3 (LONEOS)",0.7723,2.662,25.16,41.15,298.27,20.72,40,JFc,33,,,,,1000313,C,,7.0,15.7,21.75,5.,0.03,,,,,,"JPL 11",2451841.5,51841,2000-10-24.0,J2000,11.69,2.46,0.02466,2451741.81,1.46e+04,1.76,686,0.775,2.17,7.4e-05,4.0e-03,1.2e-04,9.3e-04,1.2e-03,8.0e-03,1.4e-03,7.2e-03,1.3e-05,2.3e-02,7.6e+00,.59814,,,,
"     C/2000 S5",1.0000,0.602,53.82,341.63,291.48,,,PAR,11,,,,,1001738,C,,9.9,,15.25,,,,,,,,"JPL 2",2451827.5,51827,2000-10-10.0,J2000,,,,2451844.14,,0.0978,38.1,1.88,,4.8e-03,,6.9e-04,4.6e-02,5.4e-02,7.8e-02,,,,2.2e-02,,16.715,,,,
"     C/2000 S6 (SOHO)",1.0000,0.005,144.59,2.93,81.81,,,PAR,13,,,,,1001739,C,,,,,,,,,,,,SAO_2008,2451816.6,51816,2000-09-29.1,J2000,,,,2451816.64,,,,,,,,,,,,,,,,,,,,,
"     C/2000 SV74 (LINEAR)",1.0049,3.542,75.24,24.19,76.24,,,HYP,2039,,,,,1000315,C,,9.5,,5.25,,,,,,,,"JPL 117",2452625.5,52625,2002-12-17.0,J2000,-728.5,0.01,5.013e-05,2452395.03,,3.15,1.23e+03,0.664,,1.4e-06,2.1e-01,7.1e-07,1.0e-05,9.4e-06,2.4e-05,5.1e-06,,2.2e-08,1.6e-04,,1.0182,,,,
"     C/2000 T1 (SOHO)",1.0000,0.005,144.09,2.25,81.23,,,PAR,58,,,,,1001546,C,,,,,,,,,,,,SAO_2008,2451829.0,51828,2000-10-11.4,J2000,,,,2451828.96,,,,,,,,,,,,,,,,,,,,,
"     C/2000 T3 (SOHO)",1.0000,0.005,145.22,4.77,88.67,,,PAR,7,,,,,1001547,C,,,,,,,,,,,,SAO_2008,2451829.1,51829,2000-10-11.6,J2000,,,,2451829.11,,,,,,,,,,,,,,,,,,,,,
"     C/2000 T4 (SOHO)",1.0000,0.005,144.67,7.49,87.12,,,PAR,21,,,,,1001548,C,,,,,,,,,,,,SAO_2008,2451830.0,51830,2000-10-12.5,J2000,,,,2451830.05,,,,,,,,,,,,,,,,,,,,,
"     C/2000 T5 (SOHO)",1.0000,0.006,146.54,355.75,70.98,,,PAR,5,,,,,1001740,C,,,,,,,,,,,,SAO_2008,2451824.9,51824,2000-10-07.3,J2000,,,,2451824.85,,,,,,,,,,,,,,,,,,,,,
